play_id,title,speaker,length,description,play_link
32552,Keys to the Castle,Tracey Croisier,09:10,Tracey Crosier interviews for a radio job and gets more than she bargained for.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32552
32544,The Great Qureshi Car Chase,Omar Qureshi,12:31,Omar Qureshi tries to show his cousin a good time when he visits the US.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32544
32536,My Father's Green Chevrolet,Juliette Holmes,12:19,Juliette Holmes experiences segregation firsthand as a child in Georgia.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32536
32533,"See One, Do One",Jennifer Leahy,06:47,Jennifer Leahy deals with the death of a patient for the first time.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32533
32452,Fun-raiser,Michael Corso,15:41,Michael Corso enters a stock car race for blind drivers.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32452
32450,Polished Admiral Shoes,Estella Jones,11:19,Aspiring primate veterinarian Estella Z Jones has a shift in perspective about her own life after seeing animals in the wild.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32450
32447,The Mettle to the Pedal,Francesca Hays,06:05,"Ashamed of not knowing how to ride a bike, Francesca Hays attempts to learn in secret.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32447
32444,Unexpected Gifts,Andrew McGill,07:56,Andrew McGill learns more about his father than he bargained for.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32444
32360,The Mug Shot,Victor Levenstein,15:56,Victor Levenstein realizes one thing has accompanied him throughout his time in a Soviet prison: his mugshot.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32360
32352,No if ands or BUTTS,Toby Price,12:26,Toby Price faces unexpected consequences when he introduces his students to a book he and his family love.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32352
32344,Being a Foot Soldier,Dr. Sybil Jordan Hampton,13:57,Dr. Sybil Jordan Hampton follows in the footsteps of the Little Rock Nine.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32344
32319,All The Way Back,George Dawes Green,15:25,"George Dawes Green describes his encounters with the many characters of Surrency, Georgia while working on a crisis hotline.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32319
32302,A Little Lady in Red,Zakiya Minifee,05:38,Zakiya Minifee fails to heed her mother's fashion advice.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32302
32275,"Versailles, Revisited",Norma Jean Darden,09:54,Model Norma Jean Darden participates in a historic catwalk battle.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32275
32271,Ninja Costume,Horace H.B. Sanders,06:34,Tween Horace Sanders creates a homemade Halloween costume.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32271
32264,Making the Team,Graham Shelby,05:21,Graham Shelby joins the football team as a gentle teenager.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32264
32259,The Shirt,Deepa Ambekar,06:33,Deepa Ambekar is caught off guard by a prison's dress code for visitors.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32259
32249,Marital Bliss,Adrienne Burris,04:56,Adrienne Burris is certain that her new husband has ruined her favorite blouse.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32249
32074,"Girlfriend, Manifested",Shaun Gohel,05:56,Shaun Gohel accidentally manifests a girlfriend.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32074
32069,Antonia Gonzalez Got Me Arrested!,Judith Samper,09:03,Judith Samper Albero uses her artistic talent to save money.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32069
32063,"Please, please, May it Please the Court",Dave Moran,05:44,Dave Moran prepares to argue in front of the Supreme Court.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32063
32060,Twinkletoes,Camille Qurban,05:29,Camille Qurban almost has her cover blown at a child's birthday party.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=32060
31993,Something is Not Right,David Gaskin,12:07,David tells the story of his release from prison and his emotional state leading up to it.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31993
31996,Mets Magic,Marie Hershkowitz,08:26,David tells the story of his release from prison and his emotional state leading up to it.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31996
31959,Role of a Lifetime,Steve Peebles,04:59,"Steve Peebles is offered a role in a high school play, despite being an adult.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31959
31951,The Desert Between Us,Rachel McCormick,07:40,Rachel McCormick  attempts to understand her immigrant husband's past.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31951
31939,Finding My Place,Ivan McClellan,11:41,Ivan McClellan discovers the Black Rodeo.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31939
31816,Remembering 2001,Keith Young,13:12,"Keith Young, a firefighter reflects on his 9/11 experience.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31816
31798,When Iris Eyes Were Smiling,André De Shields,15:27,"André De Shields is inspired by his sister and muse, Iris.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31798
31794,The Chicken Vanishes,Calvin Trillin,10:16,Bud Trillin and a Chinatown chicken play tic-tac-toe.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31794
31788,Do We Know How To Grieve,Francine Lobis Wheeler,12:22,"In the wake of an unfathomable loss, Francine Lobis Wheeler must navigate grieving in the public eye.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31788
31652,My Name is Katerina and I Glow,Katerina Lyublin,13:36,A Ukrainian refugee gains new perspective on the beauty of her childhood in the midst of the current war.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31652
31622,Colored Water,Juliette Holmes,07:04,Juliette Holmes and her mother go shopping in 1940s segregated Georgia.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31622
